
ARTIGO 1:
decidiam: 1
conscientemente: 1
oporse: 1
sentido: 1
representar: 1
associada: 1
contracultura: 1
relaciona: 1
históricosocial: 1
alterando: 1
euafootnote: 1
tornam: 1
estatuto: 1
legal: 1
infância: 1
abordagens: 1
passivo: 1
marginalizado: 1
deslocamento: 1
estudiosos: 1
consideravam: 1
pertencente: 1
trabalhadoras: 1
posto: 1
domado: 1
cujo: 1
boêmia: 1
readapta: 1
excluídos: 1
deixando: 1
moldado: 1
moldador: 1
alternância: 1
diferencial: 1
considera: 1
generalizante: 1
preza: 1
especificidade: 1
forças: 1
períodos: 1
momentos: 1
articuladora: 1
manifestações: 1
tendendo: 1
abstrata: 1
genérica: 1
expoentes: 1
tendência: 1
mobilizar: 1
processos: 1
fase: 1
introduzido: 1
pública: 1
confronta: 1
aí: 1
circulação: 1
alerta: 1
progressistas: 1
crença: 1
corrente: 1
progressista: 1
natureza: 1
revelouse: 1
falacioso: 1
aprendemos: 1
reacionários: 1
criar: 1
crucial: 1
natural: 1
defendiam: 1
estudos: 1
móvel: 1
construída: 1
histórica: 1
culturalmente: 1
defender: 1
básico: 1
segmentos: 1
amplos: 1
formados: 1
habitam: 1
podendo: 1
unificado: 1
defensores: 1
acredita: 1
convivendo: 1
juntas: 1
sujeitos: 1
pertencem: 1
descontínuo: 1
repleto: 1
negociações: 1
vigente: 1
estando: 1
econômicas: 1
baseia: 1
constituída: 1
interagem: 1
pacífica: 1
entrando: 1
entendermos: 1
analisar: 1
partindo: 1
inseridos: 1
dito: 1
anteriormente: 1
perde: 1
marginalidade: 1
interferência: 1
obterem: 1
saem: 1
vencedores: 1
conflito: 1
credor: 1
devastada: 1
batalhas: 1
deixaram: 1
marcas: 1
destruição: 1
afetando: 1
economia: 1
exportações: 1
alavancadas: 1
giro: 1
mercadorias: 1
industrializadas: 1
redução: 1
preços: 1
aquisição: 1
bens: 1
consumos: 1
duráveis: 1
televisões: 1
automóveis: 1
interno: 1
soldados: 1
retornaram: 1
constituírem: 1
pedra: 1
acarretando: 1
chamado: 1
baby: 1
boom: 1
demográfico: 1
decorrente: 1
quantidade: 1
nascimentos: 1
alteração: 1
estendida: 1
morando: 1
deixada: 1
dando: 1
formada: 1
reestruturação: 1
exigiu: 1
privado: 1
convivência: 1
migra: 1
produção: 1
geográfico: 1
aparato: 1
primário: 1
suburbana: 1
participante: 1
nação: 1
liberal: 1
comunistas: 1
utopia: 1
way: 1
life: 1
encontrar: 1
satisfação: 1
mudam: 1
etnias: 1
exclusão: 1
latinos: 1
asiáticos: 1
cresce: 1
estabelece: 1
cento: 1
populacional: 1
ocorreu: 1
cresciam: 1
quinze: 1
segmento: 1
precisam: 1
renda: 1
emergência: 1
livre: 1
engloba: 1
atividades: 1
diversões: 1
padrão: 1
choca: 1
igreja: 1
representantes: 1
valorizavase: 1
prazer: 1
fontes: 1
felicidades: 1
imediatas: 1
recordar: 1
queira: 1
lute: 1
cisão: 1
nunca: 1
constante: 1
cujas: 1
resultado: 1
negociação: 1
sociocultural: 1
esquemas: 1
desabafar: 1
familiares: 1
velhos: 1
une: 1
transformandoas: 1
extrema: 1
definindo: 1
notando: 1
nicho: 1
diferenciados: 1
consumirem: 1
publicidade: 1
itens: 1
essenciais: 1
roupas: 1
cosméticos: 1
demonstram: 1
extremamente: 1
maleável: 1
previsível: 1
aumentava: 1
gastar: 1
contando: 1
neles: 1
batendo: 1
consumiram: 1
vendas: 1
refrigerantes: 1
entradas: 1
vendidos: 1
adquiriram: 1
gastaram: 1
maiores: 1
gama: 1
expansão: 1
obteve: 1
perduram: 1
implica: 1
assistir: 1
nele: 1
troca: 1
determinado: 1
ocorrem: 1
amorosas: 1
iniciandose: 1
garoto: 1
andava: 1
moto: 1
jaqueta: 1
couro: 1
respeitava: 1
leis: 1
tornase: 1
boys: 1
associados: 1
gangster: 1
hollywoodiano: 1
contraste: 1
bons: 1
moços: 1
passadas: 1
trás: 1
revolta: 1
contínuo: 1
inconsciente: 1
começava: 1
emancipar: 1
ganhar: 1
ocorria: 1
anteriores: 1
marca: 1
james: 1
personificando: 1
transviadafootnote: 1
cuja: 1
lema: 1
viva: 1
morra: 1
deixe: 1
lindo: 1
corpo: 1
pessoal: 1
morrer: 1
acidente: 1
carro: 1
atores: 1
marlon: 1
brando: 1
protagonizaram: 1
faziam: 1
alcançou: 1
mística: 1
afastar: 1
doméstica: 1
casamento: 1
fuga: 1
sensação: 1
proporcionada: 1
paradigma: 1
procura: 1
feminina: 1
contraponha: 1
mãefootnote: 1
escolhida: 1
ministrar: 1
internos: 1
construindo: 1
masculina: 1
domesticar: 1
acompanhar: 1
alternativa: 1
crise: 1
apresentada: 1
relativo: 1
apresentando: 1
mulher: 1
figura: 1
rebeldefootnote: 1
expressa: 1
precoce: 1
assumindo: 1
masculinas: 1
ambas: 1
paterna: 1
exclusivo: 1
homem: 1
vital: 1
reformula: 1
mudamse: 1
cinematográfica: 1
investe: 1
driveins: 1
atrair: 1
distribuição: 1
indústrias: 1
consumidor: 1
drivein: 1
barato: 1
construído: 1
cinemas: 1
convencionais: 1
necessitando: 1
terreno: 1
vazio: 1
tela: 1
estacionamento: 1
crescendo: 1
automobilística: 1
possuindo: 1
sistema: 1
lanchonetes: 1
baseado: 1
redes: 1
estabelecimentos: 1
atraíam: 1
